left_x,left_y,right_x,right_y
-149.12203979492188,-270.17388916015625,-362.2308654785156,-144.55404663085938
-148.99639892578125,-269.2762451171875,-362.3294677734375,-145.6221466064453
-148.86976623535156,-268.3588562011719,-362.4270629882813,-146.6880645751953
-148.74212646484375,-267.4213562011719,-362.5250244140625,-147.75155639648438
-148.6134033203125,-266.4623107910156,-362.6226501464844,-148.81272888183594
-148.48316955566406,-265.47833251953125,-362.7200317382813,-149.87155151367188
-148.3500518798828,-264.4661865234375,-362.817138671875,-150.9280548095703
-148.2129669189453,-263.4227905273437,-362.9107666015625,-151.98251342773438
-148.0714111328125,-262.34423828125,-362.9957275390625,-153.0352783203125
-147.92515563964844,-261.2268371582031,-363.0713195800781,-154.08633422851562
-147.7738800048828,-260.06805419921875,-363.13714599609375,-155.13565063476562
-147.6171112060547,-258.8647766113281,-363.1933898925781,-156.18310546875
-147.4549102783203,-257.6174621582031,-363.2404174804688,-157.22862243652344
-147.28721618652344,-256.3258361816406,-363.2782287597656,-158.2721710205078
-147.11422729492188,-254.9908599853516,-363.3056945800781,-159.31362915039062
-146.93582153320312,-253.61143493652344,-363.3161315917969,-160.35275268554688
-146.75209045410156,-252.187728881836,-363.2997741699219,-161.38882446289062
-146.56297302246094,-250.7190093994141,-363.26214599609375,-162.42196655273438
-146.3684844970703,-249.20587158203125,-363.222412109375,-163.45278930664062
-146.1687774658203,-247.65151977539065,-363.1813354492188,-164.48129272460938
-145.96578979492188,-246.0714569091797,-363.138671875,-165.50758361816406
-145.8572998046875,-245.2273864746093,-363.0958557128906,-166.53172302246094
-145.7549591064453,-244.43202209472656,-363.0527038574219,-167.5537109375
-145.6525421142578,-243.6365966796875,-363.0072326660156,-168.57339477539062
-145.55014038085938,-242.84161376953125,-362.9539794921875,-169.59048461914062
-145.4477081298828,-242.0473175048828,-362.88714599609375,-170.60447692871094
-145.32598876953125,-241.1050262451172,-362.7988586425781,-171.61436462402344
-145.12083435058594,-239.52023315429688,-362.6881408691406,-172.61968994140625
-144.91539001464844,-237.938232421875,-362.5574951171875,-173.62045288085938
-144.709716796875,-236.3590087890625,-362.41693115234375,-174.6179656982422
-144.50379943847656,-234.782470703125,-362.2700805664063,-175.6125946044922
-144.29759216308594,-233.2086181640625,-362.1213073730469,-176.6050262451172
-144.09109497070312,-231.63748168945312,-361.9725341796875,-177.59555053710938
-143.88414001464844,-230.0690460205078,-361.82330322265625,-178.5841064453125
